Month,2012,2013,2014,2015,2016,2017
January,1920.804822,2579.642276,2633.421573,3948.091553,2659.01213,3881.497339
February,1992.363007,2755.280055,2534.531764,3908.086927,2798.856397,3875.089034
March,1926.826566,2819.593445,2613.406018,4138.952759,2925.065186,3953.763852
April,1893.896143,2725.91707,2525.486595,3832.399984,3008.118583,4110.669999
May,1947.964339,2735.305531,2565.924572,3438.820972,2960.139462,3917.455544
June,2046.195894,2673.140491,2930.915899,3446.51578,2834.490385,4040.120883
July,2171.94458,2814.280706,2939.335749,3477.740146,2904.669617,3986.961868
August,2203.000647,2809.723366,2893.827195,3308.262219,3116.03211,0
September,2221.297299,2769.105969,2753.731503,3176.814035,3286.324393,0
October,2267.907343,2788.309507,2824.971393,3154.648315,3496.661575,0
November,2243.872187,2743.997376,3434.530954,3210.012244,3675.185919,0
December,2465.321094,2753.191964,3867.350175,3018.460349,4159.026437,0
